DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Mechanism,atc_category
DDInter765,Flutamide,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter842,Grepafloxacin,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter846,Guanethidine,3,Unknown,Respiratory System
DDInter909,Imatinib,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter912,Imipramine,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter915,Indacaterol,3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter951,Iobenguane (I-123),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter952,Iobenguane (I-131),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter959,Ioflupane I-123,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter981,Isocarboxazid,3,Unknown,Respiratory System
DDInter982,Isoetharine,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter987,Isoprenaline,3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter988,Isosorbide,2,Unknown,Respiratory System
DDInter989,Isosorbide dinitrate,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter990,Isosorbide mononitrate,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter995,Itraconazole,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter997,Ivacaftor,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1032,Lefamulin,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1063,Levosalbutamol,3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1051,Levobupivacaine,2,Unknown,Respiratory System
DDInter1073,Linezolid,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1078,Lisdexamfetamine,3,Unknown,Respiratory System
DDInter1126,Mazindol,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1151,Mephentermine,3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1153,Mepivacaine,2,Unknown,Respiratory System
DDInter1346,Orciprenaline,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter1162,Metaraminol,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1161,Metamfetamine,3,Unknown,Respiratory System
DDInter1176,Methoxamine,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1197,Metoclopramide,2,Unknown,Respiratory System
DDInter1236,Modafinil,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1274,Nefazodone,2,Unknown,Respiratory System
DDInter1276,Nelfinavir,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1302,Nitric Oxide,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1303,Nitrofurantoin,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1304,Nitroglycerin,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1305,Nitroprusside,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1311,Norepinephrine,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter1316,Nortriptyline,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1331,Olodaterol,3,Synergy,Respiratory System
DDInter1360,Oxcarbazepine,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1376,Ozanimod,3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1416,Pemoline,3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1439,Phendimetrazine,3,Unknown,Respiratory System
DDInter1440,Phenelzine,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1442,Phenobarbital,2,Unknown,Respiratory System
DDInter1447,Phentermine,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter1460,Phenytoin,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1476,Pirbuterol,3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1520,Primaquine,2,Unknown,Respiratory System
DDInter1525,Procaine,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1526,Procarbazine,3,Unknown,Respiratory System
DDInter1543,Protriptyline,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter1557,Quinine,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1560,Racepinephrine,3,Synergy,Respiratory System
DDInter1573,Rasburicase,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1582,Reserpine,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter1606,Ritodrine,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter1607,Ritonavir,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1620,Ropivacaine,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1635,Salmeterol,3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1640,Saquinavir,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1653,Selegiline,3,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1670,Silver nitrate (ophthalmic),2,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1671,Silver nitrate (topical),2,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1672,Silver sulfadiazine (topical),2,Unknown,Respiratory System
DDInter1678,Sirolimus,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1723,Sulfamethizole,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1727,Sulfisoxazole,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter1735,Tacrolimus,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1739,Tafenoquine,2,Unknown,Respiratory System
DDInter427,Cocaine (topical),DDInter1763,Temsirolimus,2,Unknown,Respiratory System
DDInter1769,Terbutaline,DDInter427,Cocaine (topical),3,Synergy,Respiratory System
DDInter427,Cocaine (topical),DDInter1779,Tetracaine,2,Unknown,Respiratory System
DDInter1845,Tranylcypromine,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter1876,Trimipramine,DDInter427,Cocaine (topical),3,Unknown,Respiratory System
DDInter1946,Voriconazole,DDInter427,Cocaine (topical),2,Unknown,Respiratory System
DDInter429,Codeine,DDInter193,Berotralstat,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter624,Efavirenz,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter696,Ethotoin,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter783,Fosphenytoin,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter909,Imatinib,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter1094,Lorlatinib,2,Unknown,Respiratory System
DDInter429,Codeine,DDInter1173,Methohexital,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1362,Oxitriptan,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter175,Belladonna,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter193,Berotralstat,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter214,Bismuth subgallate,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1427,Pentoxyverine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter407,Clofedanol,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter354,Chlorcyclizine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter453,Cyclizine,2,Unknown,Respiratory System
DDInter480,Darifenacin,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter502,Deserpidine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter511,Desvenlafaxine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter512,Deutetrabenazine,2,Unknown,Respiratory System
DDInter517,Dexbrompheniramine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter518,Dexfenfluramine,2,Unknown,Respiratory System
DDInter520,Dexmedetomidine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter543,Dicyclomine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter581,Dolasetron,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter594,Doxepin (topical),2,Unknown,Respiratory System
DDInter600,Doxylamine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter608,Duloxetine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter627,Eletriptan,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter632,Eluxadoline,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter634,Emapalumab,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter640,Encorafenib,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter648,Entrectinib,2,Unknown,Respiratory System
DDInter656,Eplerenone,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter658,Eprosartan,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter661,Erdafitinib,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter672,Escitalopram,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter673,Esketamine,2,Unknown,Respiratory System
DDInter687,Etanercept,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter708,Ezogabine,2,Unknown,Respiratory System
DDInter720,Fenoldopam,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter731,Fesoterodine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter741,Flibanserin,2,Unknown,Respiratory System
DDInter770,Fluvoxamine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter784,Fospropofol,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter785,Fostamatinib,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter788,Frovatriptan,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter819,Ginkgo biloba,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter837,Golimumab,2,Unknown,Respiratory System
DDInter840,Granisetron,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter849,Guselkumab,2,Unknown,Respiratory System
DDInter923,Infliximab,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter972,Irbesartan,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1003,Ixekizumab,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1005,Kaolin,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1006,Kava,2,Unknown,Respiratory System
DDInter1020,Lamotrigine,DDInter884,Hydrocodone,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1026,Larotrectinib,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1027,Lasmiditan,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1032,Lefamulin,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1038,Lesinurad,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1045,Levamlodipine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1046,Levetiracetam,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1053,Levocetirizine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1059,Levomilnacipran,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1083,Lofexidine,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1129,Mebrofenin,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1149,Mepenzolate,2,Unknown,Respiratory System
DDInter884,Hydrocodone,DDInter1180,Methscopolamine,2,Unknown,Respiratory System
